"Product_id","Price","resoloution","cpu.core","cpu.freq","internal.mem","ram","RearCam","Front_Cam","battery","thickness"
"x738",2685,5.7,8,1.8,32,3,21,5,3050,7.5
"x563",2824,5.5,6,1.53,32,3,21,8,3500,9.3
"x577",2746,5.5,4,1.83,64,4,13,5,4000,8.5
"x56",2044,8,8,2,8,2,5,2,4060,7.3
"x198",1734,4.5,4,1.2,4,1,8,0,1840,8.5
"x218",2323,4.8,8,1.7,16,1,8,5,2100,5.1
"x198",1734,4.5,4,1.2,4,1,8,0,1840,8.5
"x14",2276,5,8,1.5,16,2,13,5,2300,7.8
"x56",2044,8,8,2,8,2,5,2,4060,7.3
"x857",3116,5.5,8,1.5,64,4,13,16,3200,7.3
"x937",2571,4.8,4,1.2,16,2,8,5,2000,5.1
"x14",2276,5,8,1.5,16,2,13,5,2300,7.8
"x937",2571,4.8,4,1.2,16,2,8,5,2000,5.1
"x66",1396,7,4,1.2,4,1,3,0,3240,9
"x1221",2714,5.5,8,1.35,16,2,13,5,2300,5.1
"x1011",3005,5.7,8,1.8,32,4,16,5,3000,7.6
"x1221",2714,5.5,8,1.35,16,2,13,5,2300,5.1
"x1026",791,1.5,1,0.208,0,0.004,0,0,800,13.2
"x1011",3005,5.7,8,1.8,32,4,16,5,3000,7.6
"x1216",3837,5.43,4,1.875,128,6,16,8,3600,7.6
"x237",1646,8,4,1.2,8,1,5,5,4500,9
"x66",1396,7,4,1.2,4,1,3,0,3240,9
"x1026",791,1.5,1,0.208,0,0.004,0,0,800,13.2
"x1216",3837,5.43,4,1.875,128,6,16,8,3600,7.6
"x763",1302,4,2,1.2,8,1,2,0,1500,10.6
"x763",1302,4,2,1.2,8,1,2,0,1500,10.6
"x237",1646,8,4,1.2,8,1,5,5,4500,9
"x131",1831,5,4,1.2,8,1,13,5,2100,8.4
"x131",1831,5,4,1.2,8,1,13,5,2100,8.4
"x1062",1810,8,4,1.2,16,1.5,3.15,1.2,4450,9.7
"x841",1511,4.5,4,1.2,8,0.512,5,0,1830,9.2
"x1062",1810,8,4,1.2,16,1.5,3.15,1.2,4450,9.7
"x1143",2562,6,8,1.7,16,2,13,13,2930,8.2
"x1143",2562,6,8,1.7,16,2,13,13,2930,8.2
"x183",1522,5,2,1.2,0,1,8,0,2500,10.8
"x841",1511,4.5,4,1.2,8,0.512,5,0,1830,9.2
"x1080",2343,5.1,4,2.5,16,2,16,2,2800,8.9
"x827",833,2.4,0,0,0,0.008,0,0,1100,12.9
"x183",1522,5,2,1.2,0,1,8,0,2500,10.8
"x1080",2343,5.1,4,2.5,16,2,16,2,2800,8.9
"x133",2744,5,8,1.25,16,2,16,8,2700,8
"x827",833,2.4,0,0,0,0.008,0,0,1100,12.9
"x133",2744,5,8,1.25,16,2,16,8,2700,8
"x832",1676,5,4,1.2,16,1,10,0.9,2200,8.5
"x832",1676,5,4,1.2,16,1,10,0.9,2200,8.5
"x637",2858,5.7,4,1.875,32,4,16,5,3200,7.6
"x64",754,2.4,0,0,0.004,0.004,0,0,850,12.4
"x30",2975,5.5,8,1.6,32,3,16,8,3000,7
"x30",2975,5.5,8,1.6,32,3,16,8,3000,7
"x64",754,2.4,0,0,0.004,0.004,0,0,850,12.4
"x409",2880,5.1,8,2.1,32,4,20,8,3200,7
"x637",2858,5.7,4,1.875,32,4,16,5,3200,7.6
"x143",3287,5.5,8,2,32,4,12,13,5000,8
"x143",3287,5.5,8,2,32,4,12,13,5000,8
"x798",2054,5.5,8,1.35,16,2,21,5,3630,10.9
"x460",1734,4,4,1.2,4,0.512,5,2,1730,10.9
"x460",1734,4,4,1.2,4,0.512,5,2,1730,10.9
"x798",2054,5.5,8,1.35,16,2,21,5,3630,10.9
"x1327",2001,5.7,4,1.2,16,2,8,1,3400,10.2
"x1327",2001,5.7,4,1.2,16,2,8,1,3400,10.2
"x409",2880,5.1,8,2.1,32,4,20,8,3200,7
"x1198",705,2.2,0,0,0.128,0.032,2,0,900,15.6
"x1198",705,2.2,0,0,0.128,0.032,2,0,900,15.6
"x1112",2491,12.2,8,1.6,32,3,8,2,9500,8
"x1112",2491,12.2,8,1.6,32,3,8,2,9500,8
"x696",2466,5.5,4,2.7,32,3,13,2.1,3000,9.1
"x1089",1357,4.66,4,1.2,0,0,5,0,2600,11.6
"x1089",1357,4.66,4,1.2,0,0,5,0,2600,11.6
"x696",2466,5.5,4,2.7,32,3,13,2.1,3000,9.1
"x497",2266,5,8,1.4,8,1,8,8,1900,6.3
"x497",2266,5,8,1.4,8,1,8,8,1900,6.3
"x301",2445,5,4,1.3,32,3,8,5,4000,8.5
"x301",2445,5,4,1.3,32,3,8,5,4000,8.5
"x857",3116,5.5,8,1.5,64,4,13,16,3200,7.3
"x377",2409,5,4,2.3,32,2,4,5,2600,9.4
"x377",2409,5,4,2.3,32,2,4,5,2600,9.4
"x701",628,2.2,0,0,0.256,0.128,1.3,0,950,18.5
"x701",628,2.2,0,0,0.256,0.128,1.3,0,950,18.5
"x1161",2508,5.2,4,2.5,16,3,20.7,2.2,3100,7.3
"x1161",2508,5.2,4,2.5,16,3,20.7,2.2,3100,7.3
"x32",1921,6,4,1.3,8,1,13,8,2580,8
"x32",1921,6,4,1.3,8,1,13,8,2580,8
"x1137",3102,5.5,8,1.75,32,3,23,5.1,3430,7.8
"x1137",3102,5.5,8,1.75,32,3,23,5.1,3430,7.8
"x851",3055,5.5,4,1.875,64,6,16,8,3000,7.4
"x826",614,1.4,0,0,0,0.004,0,0,800,14.1
"x826",614,1.4,0,0,0,0.004,0,0,800,14.1
"x851",3055,5.5,4,1.875,64,6,16,8,3000,7.4
"x290",4361,5.7,8,1.95,128,6,12,8,7000,7.4
"x290",4361,5.7,8,1.95,128,6,12,8,7000,7.4
"x1131",2536,6,8,1.5,16,3,21.5,16,2700,8.4
"x1206",3551,5.46,4,1.875,128,6,12,16,4080,8.4
"x1206",3551,5.46,4,1.875,128,6,12,16,4080,8.4
"x1296",3211,5.5,4,1.975,128,6,20,8,3400,7.9
"x856",3260,5.5,8,2.2,64,4,20,20,3000,6.8
"x1296",3211,5.5,4,1.975,128,6,20,8,3400,7.9
"x1131",2536,6,8,1.5,16,3,21.5,16,2700,8.4
