"Timestamp","How.would.you.rate.your.level.of.experience.using.R.","What.is.the.highest.degree.or.level.of.school.you.have.completed..If.currently.enrolled..please.use.the.highest.degree.received.","In.what.country.do.you.currently.reside.","What.industry.do.you.work.or.participate.in.","How.many.people.in.your.organization.or.work.group.do.you.feel.that.you.can.ask.for.help.or.support.when.working.with.R."
"12/16/2019 12:03:39","Beginner","Bachelor's degree ","Canada","Not Employed",0
"12/29/2019 20:30:22","Beginner","Bachelor's degree ","Canada","Research",1
"12/30/2019 17:31:30","Beginner","Bachelor's degree ","Canada","Financial Services and Activities",1
"12/31/2019 12:08:12","Expert","Bachelor's degree ","Canada","Insurance",3
"12/31/2019 16:54:10","Expert","Bachelor's degree ","Canada","Government Services (Federal, State, or Local)",0
"12/15/2019 13:47:03","Intermediate","Bachelor's degree ","Canada","Journalism",0
"12/18/2019 9:55:19","Intermediate","Bachelor's degree ","Canada","Professional and Business Services",1
"12/18/2019 15:28:45","Intermediate","Bachelor's degree ","Canada","Health Care and Medicine",0
"12/29/2019 13:23:20","Intermediate","Bachelor's degree ","Canada","Financial Services and Activities",0
"12/29/2019 18:08:41","Intermediate","Bachelor's degree ","Canada","Construction",1
"12/30/2019 9:23:28","Intermediate","Bachelor's degree ","Canada","Education",0
"12/31/2019 0:53:46","Intermediate","Bachelor's degree ","Canada","Research",8
"01/01/2020 11:37","Intermediate","Bachelor's degree ","Canada","Education",5
"12/19/2019 18:06:39","Intermediate","Bachelor's degree ","Chile","Military",2
"12/31/2019 0:30:44","Intermediate","Bachelor's degree ","China","Not Employed",0
"12/29/2019 23:32:44","Intermediate","Bachelor's degree ","Colombia","Financial Services and Activities",5
"12/24/2019 7:08:30","Expert","Bachelor's degree ","Costa Rica","Financial Services and Activities",3
"12/15/2019 18:08:04","Intermediate","Bachelor's degree ","Costa Rica","Information Technologies",3
"12/18/2019 16:07:24","Beginner","Bachelor's degree ","Czech Republic","still a student, but I am heading to the field of data analysis (companies or research)",3
"12/18/2019 17:47:58","Intermediate","Bachelor's degree ","Czech Republic","Not Employed",4
"12/28/2019 9:48:02","Intermediate","Bachelor's degree ","Czech Republic","Research",5
"12/17/2019 11:24:47","Beginner","Bachelor's degree ","Denmark","Trade (Retail or Wholesale)",
"12/29/2019 18:29:56","Intermediate","Bachelor's degree ","Denmark","Professional and Business Services",1
"12/31/2019 2:50:17","Intermediate","Bachelor's degree ","Denmark","Health Care and Medicine",2
"12/31/2019 4:06:33","Intermediate","Bachelor's degree ","Denmark","Professional and Business Services",0
"12/28/2019 15:31:53","Intermediate","Bachelor's degree ","Egypt","Financial Services and Activities",1
"12/30/2019 20:12:42","Expert","Bachelor's degree ","France","Research",5
"12/25/2019 7:10:47","Intermediate","Bachelor's degree ","France","Not Employed",0
"01/04/2020 01:50","Intermediate","Bachelor's degree ","France","Professional and Business Services",2
"12/15/2019 20:29:03","Beginner","Bachelor's degree ","Germany","Research",2
"12/27/2019 1:38:30","Beginner","Bachelor's degree ","Germany","Research",2
"12/18/2019 10:01:03","Expert","Bachelor's degree ","Germany","Financial Services and Activities",0
"12/15/2019 17:29:39","Intermediate","Bachelor's degree ","Germany","Student",
"12/17/2019 8:33:48","Intermediate","Bachelor's degree ","Germany","Research",1
"12/18/2019 6:29:06","Intermediate","Bachelor's degree ","Germany","Information Technologies",0
"12/29/2019 12:48:29","Intermediate","Bachelor's degree ","Germany","Information Technologies",4
"12/31/2019 8:23:10","Intermediate","Bachelor's degree ","Germany","Education",2
"12/31/2019 11:51:18","Intermediate","Bachelor's degree ","Germany","Education",2
"01/04/2020 08:27","Intermediate","Bachelor's degree ","Germany","Financial Services and Activities",0
"12/30/2019 21:01:09","Beginner","Bachelor's degree ","Greece","Research",1
"12/30/2019 22:18:17","Beginner","Bachelor's degree ","India","Not Employed",
"12/31/2019 1:25:04","Beginner","Bachelor's degree ","India","Education",4
"12/31/2019 11:59:00","Beginner","Bachelor's degree ","India","Education",
"12/16/2019 3:20:22","Expert","Bachelor's degree ","India","Financial Services and Activities",5
"01/06/2020 05:00","Expert","Bachelor's degree ","India","Information Technologies",
"12/18/2019 14:30:53","Intermediate","Bachelor's degree ","India","Research",
"12/30/2019 7:01:37","Intermediate","Bachelor's degree ","India","Utilities",0
"12/30/2019 22:36:15","Intermediate","Bachelor's degree ","India","Financial Services and Activities",1
"12/31/2019 0:07:36","Intermediate","Bachelor's degree ","India","",
"12/31/2019 9:42:45","Intermediate","Bachelor's degree ","India","Retail",0
"12/17/2019 14:52:16","Intermediate","Bachelor's degree ","Ireland","Government Services (Federal, State, or Local)",0
"12/20/2019 12:38:29","Intermediate","Bachelor's degree ","Ireland","Utilities",0
"12/31/2019 10:47:36","Intermediate","Bachelor's degree ","Ireland","Manufacturing",5
"12/30/2019 4:30:16","Beginner","Bachelor's degree ","Italy","Insurance",1
"12/17/2019 7:39:54","Intermediate","Bachelor's degree ","Kenya","Education",
"12/19/2019 0:38:58","Intermediate","Bachelor's degree ","Kenya","Financial Services and Activities",0
"12/22/2019 15:10:10","Intermediate","Bachelor's degree ","Kenya","Financial Services and Activities",2
"12/30/2019 23:48:09","Intermediate","Bachelor's degree ","Kenya","Research",2
"12/18/2019 16:20:15","Intermediate","Bachelor's degree ","Latvia","Financial Services and Activities",20
"12/18/2019 16:20:39","Intermediate","Bachelor's degree ","Malaysia","Natural Resources and Mining",0
"12/30/2019 18:44:19","Intermediate","Bachelor's degree ","Malaysia","Information Technologies",0
"12/18/2019 12:47:16","Beginner","Bachelor's degree ","Mexico","Research",0
"12/20/2019 15:11:33","Beginner","Bachelor's degree ","Mexico","Professional and Business Services",0
"12/13/2019 11:00:11","Expert","Bachelor's degree ","Mexico","Accommodation and Food Services",0
"12/19/2019 0:33:50","Expert","Bachelor's degree ","Mexico","Research",10
"12/31/2019 8:33:40","Intermediate","Bachelor's degree ","Mexico","Government Services (Federal, State, or Local)",0
"12/31/2019 15:45:06","Intermediate","Bachelor's degree ","Mexico","Information Technologies",0
"12/18/2019 11:10:49","Beginner","Bachelor's degree ","Netherlands","Research",10
"12/29/2019 13:54:13","Intermediate","Bachelor's degree ","Netherlands","Professional and Business Services",4
"12/29/2019 16:12:17","Intermediate","Bachelor's degree ","Netherlands","Government Services (Federal, State, or Local)",2
"12/31/2019 5:19:27","Intermediate","Bachelor's degree ","Netherlands","Research",4
"12/18/2019 3:29:56","Intermediate","Bachelor's degree ","New Zealand","Utilities",2
"01/02/2020 01:09","Intermediate","Bachelor's degree ","New Zealand","Professional and Business Services",0
"12/15/2019 16:28:12","Intermediate","Bachelor's degree ","Nigeria","Information Technologies",4
"12/30/2019 7:23:37","Intermediate","Bachelor's degree ","Norway","Not Employed",8
"12/31/2019 7:42:14","Expert","Bachelor's degree ","Peru","Financial Services and Activities",0
"12/18/2019 10:44:58","Intermediate","Bachelor's degree ","Peru","Education",2
"12/16/2019 15:02:29","Intermediate","Bachelor's degree ","Philippines","Financial Services and Activities",
"12/30/2019 9:25:09","Intermediate","Bachelor's degree ","Philippines","Professional and Business Services",1
"12/17/2019 2:57:18","Intermediate","Bachelor's degree ","Poland","Trade (Retail or Wholesale)",1
"12/30/2019 20:49:16","Beginner","Bachelor's degree ","Portugal","R is not related to my main occupation. I use it for my personal projects",
"12/18/2019 9:44:07","Intermediate","Bachelor's degree ","Portugal","Arts and Entertainment",0
"12/18/2019 11:26:23","Beginner","Bachelor's degree ","Russia","Financial Services and Activities",2
"12/30/2019 10:34:44","Beginner","Bachelor's degree ","Russia","Health Care and Medicine",
"12/19/2019 4:26:49","Intermediate","Bachelor's degree ","Russia","Research",1
"12/19/2019 5:20:50","Intermediate","Bachelor's degree ","Russia","Information Technologies",1
"12/19/2019 17:36:20","Intermediate","Bachelor's degree ","Russia","Information Technologies",0
"12/31/2019 7:34:36","Intermediate","Bachelor's degree ","Russia","Health Care and Medicine",10
"01/05/2020 11:12","Beginner","Bachelor's degree ","Serbia and Montenegro","Information Technologies",0
"01/01/2020 04:20","Beginner","Bachelor's degree ","Singapore","Government Services (Federal, State, or Local)",0
"01/05/2020 09:25","Intermediate","Bachelor's degree ","Singapore","Financial Services and Activities",
"12/18/2019 14:51:03","Beginner","Bachelor's degree ","Slovakia","Health Care and Medicine",0
"12/31/2019 4:24:01","Expert","Bachelor's degree ","Slovenia","Financial Services and Activities",1
"01/04/2020 02:47","Beginner","Bachelor's degree ","South Africa","Education",
"01/05/2020 17:23","Beginner","Bachelor's degree ","South Africa","Government Services (Federal, State, or Local)",0
"12/14/2019 16:59:42","Expert","Bachelor's degree ","South Africa","Trade (Retail or Wholesale)",2
"12/31/2019 6:19:07","Expert","Bachelor's degree ","South Africa","Financial Services and Activities",3
"12/16/2019 11:00:23","Intermediate","Bachelor's degree ","South Africa","Professional and Business Services",0
"12/18/2019 4:59:04","Intermediate","Bachelor's degree ","South Africa","Marketing research",0
"12/18/2019 9:27:58","Beginner","Bachelor's degree ","Spain","Research",
"12/15/2019 12:34:39","Expert","Bachelor's degree ","Spain","Government Services (Federal, State, or Local)",2
"12/18/2019 19:48:22","Expert","Bachelor's degree ","Spain","Financial Services and Activities",3
"12/31/2019 3:30:51","Intermediate","Bachelor's degree ","Spain","Accommodation and Food Services",2
"12/15/2019 14:49:13","Beginner","Bachelor's degree ","Sweden","Government Services (Federal, State, or Local)",2
"12/31/2019 18:10:49","Expert","Bachelor's degree ","Sweden","Not Employed",
"12/24/2019 15:25:58","Expert","Bachelor's degree ","Switzerland","Non profit",3
"01/01/2020 01:59","Intermediate","Bachelor's degree ","Tanzania","Information Technologies",1
"12/18/2019 9:37:48","Intermediate","Bachelor's degree ","Turkey","Accommodation and Food Services",1
"12/14/2019 13:58:31","Expert","Bachelor's degree ","Uganda","Health Care and Medicine",2
"12/13/2019 12:25:40","Beginner","Bachelor's degree ","United Kingdom","Health Care and Medicine",2
"12/15/2019 11:39:16","Beginner","Bachelor's degree ","United Kingdom","Masters Student",3
"12/16/2019 9:46:17","Beginner","Bachelor's degree ","United Kingdom","Government Services (Federal, State, or Local)",0
"12/17/2019 9:44:22","Beginner","Bachelor's degree ","United Kingdom","Health Care and Medicine",2
"12/29/2019 11:19:27","Beginner","Bachelor's degree ","United Kingdom","Research",2
"12/29/2019 14:08:36","Beginner","Bachelor's degree ","United Kingdom","Government Services (Federal, State, or Local)",0
"12/31/2019 4:55:20","Beginner","Bachelor's degree ","United Kingdom","Financial Services and Activities",3
"12/13/2019 11:08:37","Expert","Bachelor's degree ","United Kingdom","Government Services (Federal, State, or Local)",4
"12/15/2019 18:28:53","Expert","Bachelor's degree ","United Kingdom","Consultancy",10
"12/17/2019 15:43:33","Expert","Bachelor's degree ","United Kingdom","Financial Services and Activities",0
"12/19/2019 4:35:02","Expert","Bachelor's degree ","United Kingdom","Transportation",30
"12/23/2019 19:39:26","Expert","Bachelor's degree ","United Kingdom","Information Technologies",100
"12/30/2019 17:29:13","Expert","Bachelor's degree ","United Kingdom","Information Technologies",2
"12/13/2019 11:21:18","Intermediate","Bachelor's degree ","United Kingdom","Government Services (Federal, State, or Local)",50
"12/13/2019 16:15:56","Intermediate","Bachelor's degree ","United Kingdom","Health Care and Medicine",0
"12/15/2019 10:42:16","Intermediate","Bachelor's degree ","United Kingdom","Research",1
"12/15/2019 11:24:16","Intermediate","Bachelor's degree ","United Kingdom","Education",2
"12/16/2019 16:11:09","Intermediate","Bachelor's degree ","United Kingdom","Government Services (Federal, State, or Local)",5
"12/18/2019 9:28:18","Intermediate","Bachelor's degree ","United Kingdom","Professional and Business Services",4
"12/19/2019 4:39:25","Intermediate","Bachelor's degree ","United Kingdom","Information Technologies",0
"12/28/2019 8:06:13","Intermediate","Bachelor's degree ","United Kingdom","Government Services (Federal, State, or Local)",5
"12/29/2019 12:15:20","Intermediate","Bachelor's degree ","United Kingdom","Research",40
"12/30/2019 17:24:09","Intermediate","Bachelor's degree ","United Kingdom","Information Technologies",0
"12/30/2019 17:42:28","Intermediate","Bachelor's degree ","United Kingdom","Health Care and Medicine",
"12/31/2019 1:31:51","Intermediate","Bachelor's degree ","United Kingdom","Professional and Business Services",1
"12/31/2019 4:50:04","Intermediate","Bachelor's degree ","United Kingdom","Media - journalism training mostly",5
"01/03/2020 13:03","Intermediate","Bachelor's degree ","United Kingdom","Financial Services and Activities",0
"12/18/2019 10:22:42","None","Bachelor's degree ","United Kingdom","Wildlife Conservation",0
"12/16/2019 9:52:20","Beginner","Bachelor's degree ","United States of America","Media",2
"12/19/2019 15:45:20","Beginner","Bachelor's degree ","United States of America","Insurance",1
"12/29/2019 12:32:09","Beginner","Bachelor's degree ","United States of America","Professional and Business Services",0
"12/29/2019 20:28:11","Beginner","Bachelor's degree ","United States of America","Research",1
"12/30/2019 4:47:19","Beginner","Bachelor's degree ","United States of America","Government Services (Federal, State, or Local)",0
"12/30/2019 8:03:37","Beginner","Bachelor's degree ","United States of America","Construction",0
"12/30/2019 19:44:59","Beginner","Bachelor's degree ","United States of America","Health Care and Medicine",0
"12/30/2019 22:05:20","Beginner","Bachelor's degree ","United States of America","Research",3
"01/02/2020 17:21","Beginner","Bachelor's degree ","United States of America","Financial Services and Activities",
"01/02/2020 22:07","Beginner","Bachelor's degree ","United States of America","Education",2
"01/03/2020 12:43","Beginner","Bachelor's degree ","United States of America","Arts and Entertainment",0
"01/06/2020 17:25","Beginner","Bachelor's degree ","United States of America","Information Technologies",4
"12/15/2019 11:03:07","Expert","Bachelor's degree ","United States of America","Energy ",10
"12/16/2019 14:32:01","Expert","Bachelor's degree ","United States of America","digital publishing",1
"12/17/2019 16:02:18","Expert","Bachelor's degree ","United States of America","Financial Services and Activities",1
"12/21/2019 10:04:20","Expert","Bachelor's degree ","United States of America","Government Services (Federal, State, or Local)",
"12/21/2019 13:16:50","Expert","Bachelor's degree ","United States of America","Not Employed",
"12/30/2019 0:35:44","Expert","Bachelor's degree ","United States of America","Professional and Business Services",0
"12/30/2019 17:31:24","Expert","Bachelor's degree ","United States of America","Research",3
"12/30/2019 17:33:27","Expert","Bachelor's degree ","United States of America","Information Technologies",3
"12/30/2019 17:37:35","Expert","Bachelor's degree ","United States of America","Journalism",1
"12/30/2019 18:15:33","Expert","Bachelor's degree ","United States of America","Consulting",1
"12/30/2019 21:06:51","Expert","Bachelor's degree ","United States of America","Insurance",0
"12/30/2019 22:10:17","Expert","Bachelor's degree ","United States of America","Information Technologies",3
"12/30/2019 22:17:50","Expert","Bachelor's degree ","United States of America","Information Technologies",1
"12/31/2019 7:36:05","Expert","Bachelor's degree ","United States of America","Non profit",10
"12/31/2019 11:11:01","Expert","Bachelor's degree ","United States of America","Financial Services and Activities",3
"12/31/2019 12:22:17","Expert","Bachelor's degree ","United States of America","Professional and Business Services",4
"12/31/2019 14:31:43","Expert","Bachelor's degree ","United States of America","Research",4
"12/31/2019 19:38:59","Expert","Bachelor's degree ","United States of America","Health Care and Medicine",4
"12/31/2019 23:09:54","Expert","Bachelor's degree ","United States of America","Financial Services and Activities",0
"01/02/2020 12:13","Expert","Bachelor's degree ","United States of America","Research",6
"01/04/2020 00:24","Expert","Bachelor's degree ","United States of America","Sports",4
"12/13/2019 10:08:04","Intermediate","Bachelor's degree ","United States of America","Research",2
"12/13/2019 11:06:30","Intermediate","Bachelor's degree ","United States of America","Health Care and Medicine",10
"12/13/2019 11:13:49","Intermediate","Bachelor's degree ","United States of America","Research",
"12/13/2019 11:26:03","Intermediate","Bachelor's degree ","United States of America","Research",2
"12/13/2019 22:34:00","Intermediate","Bachelor's degree ","United States of America","Not Employed",0
"12/14/2019 20:44:02","Intermediate","Bachelor's degree ","United States of America","Information Technologies",6
"12/15/2019 10:54:13","Intermediate","Bachelor's degree ","United States of America","Education",7
"12/15/2019 10:59:31","Intermediate","Bachelor's degree ","United States of America","Research",0
"12/15/2019 11:03:40","Intermediate","Bachelor's degree ","United States of America","Education",
"12/15/2019 11:20:46","Intermediate","Bachelor's degree ","United States of America","Health Care and Medicine",0
"12/15/2019 11:29:44","Intermediate","Bachelor's degree ","United States of America","Research",1
"12/15/2019 11:34:54","Intermediate","Bachelor's degree ","United States of America","Education",3
"12/15/2019 13:40:32","Intermediate","Bachelor's degree ","United States of America","Transportation",0
"12/15/2019 13:46:44","Intermediate","Bachelor's degree ","United States of America","Education",0
"12/15/2019 16:08:04","Intermediate","Bachelor's degree ","United States of America","Non profit (homelessness)",0
"12/15/2019 17:24:21","Intermediate","Bachelor's degree ","United States of America","Natural Resources and Mining",3
"12/15/2019 21:24:20","Intermediate","Bachelor's degree ","United States of America","Natural Resources and Mining",3
"12/15/2019 23:23:08","Intermediate","Bachelor's degree ","United States of America","Education",1
"12/15/2019 23:42:33","Intermediate","Bachelor's degree ","United States of America","Education",0
"12/16/2019 9:54:19","Intermediate","Bachelor's degree ","United States of America","Trade (Retail or Wholesale)",0
"12/16/2019 11:04:51","Intermediate","Bachelor's degree ","United States of America","Research",5
"12/17/2019 8:23:32","Intermediate","Bachelor's degree ","United States of America","Research",10
"12/17/2019 11:34:21","Intermediate","Bachelor's degree ","United States of America","Trade (Retail or Wholesale)",0
"12/17/2019 12:31:57","Intermediate","Bachelor's degree ","United States of America","Information Technologies",0
"12/18/2019 7:07:54","Intermediate","Bachelor's degree ","United States of America","Information Technologies",
"12/18/2019 9:33:07","Intermediate","Bachelor's degree ","United States of America","Professional and Business Services",
"12/18/2019 9:35:44","Intermediate","Bachelor's degree ","United States of America","Transportation",0
"12/18/2019 10:06:38","Intermediate","Bachelor's degree ","United States of America","Warehousing",0
"12/18/2019 10:12:30","Intermediate","Bachelor's degree ","United States of America","Government Services (Federal, State, or Local)",0
"12/18/2019 10:34:04","Intermediate","Bachelor's degree ","United States of America","Professional and Business Services",1
"12/18/2019 10:47:51","Intermediate","Bachelor's degree ","United States of America","Warehousing",0
"12/18/2019 11:19:03","Intermediate","Bachelor's degree ","United States of America","Warehousing",0
"12/18/2019 12:24:45","Intermediate","Bachelor's degree ","United States of America","Warehousing",0
"12/18/2019 14:27:51","Intermediate","Bachelor's degree ","United States of America","Information Technologies",0
"12/18/2019 20:12:52","Intermediate","Bachelor's degree ","United States of America","Advertising",6
"12/18/2019 21:26:57","Intermediate","Bachelor's degree ","United States of America","Professional and Business Services",3
"12/19/2019 10:14:28","Intermediate","Bachelor's degree ","United States of America","Marketing",0
"12/23/2019 19:05:39","Intermediate","Bachelor's degree ","United States of America","Government Services (Federal, State, or Local)",0
"12/23/2019 20:07:46","Intermediate","Bachelor's degree ","United States of America","Research",25
"12/27/2019 11:15:35","Intermediate","Bachelor's degree ","United States of America","consulting",0
"12/28/2019 3:58:15","Intermediate","Bachelor's degree ","United States of America","Not Employed",
"12/29/2019 12:54:18","Intermediate","Bachelor's degree ","United States of America","Research",0
"12/29/2019 13:44:45","Intermediate","Bachelor's degree ","United States of America","Research",1
"12/29/2019 14:46:12","Intermediate","Bachelor's degree ","United States of America","Logistics",2
"12/29/2019 15:31:07","Intermediate","Bachelor's degree ","United States of America","Financial Services and Activities",
"12/29/2019 17:36:40","Intermediate","Bachelor's degree ","United States of America","Not Employed",
"12/29/2019 17:59:14","Intermediate","Bachelor's degree ","United States of America","Marketing",5
"12/29/2019 19:17:21","Intermediate","Bachelor's degree ","United States of America","Not Employed",
"12/30/2019 17:28:44","Intermediate","Bachelor's degree ","United States of America","Information Technologies",1
"12/30/2019 17:37:01","Intermediate","Bachelor's degree ","United States of America","Research",6
"12/30/2019 17:57:01","Intermediate","Bachelor's degree ","United States of America","Sports",3
"12/30/2019 18:12:20","Intermediate","Bachelor's degree ","United States of America","Media/Journalism",5
"12/30/2019 22:09:53","Intermediate","Bachelor's degree ","United States of America","Research",
"12/30/2019 22:14:20","Intermediate","Bachelor's degree ","United States of America","Health Care and Medicine",1
"12/30/2019 22:48:25","Intermediate","Bachelor's degree ","United States of America","Religious Organization",0
"12/30/2019 23:37:43","Intermediate","Bachelor's degree ","United States of America","Research",
"12/31/2019 0:25:41","Intermediate","Bachelor's degree ","United States of America","Information Technologies",0
"12/31/2019 0:27:49","Intermediate","Bachelor's degree ","United States of America","Research",4
"12/31/2019 9:20:39","Intermediate","Bachelor's degree ","United States of America","Education",0
"12/31/2019 10:35:35","Intermediate","Bachelor's degree ","United States of America","Research",6
"12/31/2019 10:58:04","Intermediate","Bachelor's degree ","United States of America","Trade (Retail or Wholesale)",0
"12/31/2019 11:31:56","Intermediate","Bachelor's degree ","United States of America","Insurance",100
"12/31/2019 11:52:48","Intermediate","Bachelor's degree ","United States of America","Research",3
"12/31/2019 12:45:03","Intermediate","Bachelor's degree ","United States of America","Research",30
"12/31/2019 13:24:43","Intermediate","Bachelor's degree ","United States of America","Research",1
"12/31/2019 16:07:26","Intermediate","Bachelor's degree ","United States of America","Information Technologies",4
"12/31/2019 18:00:07","Intermediate","Bachelor's degree ","United States of America","Health Care and Medicine",1
"01/02/2020 09:35","Intermediate","Bachelor's degree ","United States of America","Health Care and Medicine",1
"01/02/2020 09:44","Intermediate","Bachelor's degree ","United States of America","Health Care and Medicine",5
"01/02/2020 12:12","Intermediate","Bachelor's degree ","United States of America","Research",3
"01/02/2020 14:29","Intermediate","Bachelor's degree ","United States of America","Research",4
"01/03/2020 11:07","Intermediate","Bachelor's degree ","United States of America","Information Technologies",1
"01/03/2020 13:05","Intermediate","Bachelor's degree ","United States of America","Trade (Retail or Wholesale)",3
"01/03/2020 13:12","Intermediate","Bachelor's degree ","United States of America","Trade (Retail or Wholesale)",5
"01/03/2020 13:38","Intermediate","Bachelor's degree ","United States of America","Ecommerce",3
"01/03/2020 21:51","Intermediate","Bachelor's degree ","United States of America","Transportation",0
"01/08/2020 13:14","Intermediate","Bachelor's degree ","United States of America","Financial Services and Activities",7
"12/31/2019 23:22:32","Expert","Bachelor's degree ","Uruguay","Trade (Retail or Wholesale)",0
"12/17/2019 4:27:06","Intermediate","Bachelor's degree ","Uruguay","Information Technologies",0
"12/17/2019 7:00:42","Intermediate","Bachelor's degree ","Uruguay","Research",0
"01/04/2020 14:41","None","Bachelor's degree ","Venezuela","Research",1
"12/15/2019 13:40:39","Beginner","Bachelor's degree ","","Education",30
"12/18/2019 12:31:22","Beginner","Bachelor's degree ","","Information Technologies",2
"12/19/2019 5:07:40","Beginner","Bachelor's degree ","","Education",
"12/25/2019 17:59:29","Beginner","Bachelor's degree ","","Technology",
"12/28/2019 14:01:48","Beginner","Bachelor's degree ","","Research",1
"12/29/2019 21:44:56","Beginner","Bachelor's degree ","","Not Employed",
"12/31/2019 18:56:48","Beginner","Bachelor's degree ","","Professional and Business Services",1
"12/14/2019 14:46:35","Expert","Bachelor's degree ","","Information Technologies",1
"12/15/2019 17:31:19","Expert","Bachelor's degree ","","Research",0
"12/30/2019 0:05:58","Expert","Bachelor's degree ","","Research",3
"12/15/2019 17:46:21","Intermediate","Bachelor's degree ","","Research",0
"12/18/2019 9:53:10","Intermediate","Bachelor's degree ","","Research",0
"12/18/2019 10:47:59","Intermediate","Bachelor's degree ","","Information Technologies",
"12/18/2019 13:56:34","Intermediate","Bachelor's degree ","","Research",
"12/19/2019 19:34:55","Intermediate","Bachelor's degree ","","Information Technologies",4
"12/20/2019 20:25:09","Intermediate","Bachelor's degree ","","Utilities",0
"12/29/2019 17:57:01","Intermediate","Bachelor's degree ","","Research",
"12/30/2019 17:25:01","Intermediate","Bachelor's degree ","","Research",5
"12/30/2019 17:27:04","Intermediate","Bachelor's degree ","","Information Technologies",
"12/30/2019 21:21:16","Intermediate","Bachelor's degree ","","Government Services (Federal, State, or Local)",7
"12/31/2019 11:26:49","Intermediate","Bachelor's degree ","","Education",0
"01/01/2020 12:14","Intermediate","Bachelor's degree ","","Not Employed",
"12/15/2019 12:03:21","Expert","Doctorate","Algeria","Research",3
"12/15/2019 12:13:38","Expert","Doctorate","Algeria","Government Services (Federal, State, or Local)",3
"12/15/2019 12:45:15","Expert","Doctorate","Algeria","Education",4
"12/15/2019 16:14:09","Expert","Doctorate","Algeria","Research",1
"12/15/2019 12:12:47","Intermediate","Doctorate","Algeria","Research",3
"12/15/2019 13:16:23","Intermediate","Doctorate","Algeria","Professional and Business Services",5
"12/16/2019 8:17:10","Intermediate","Doctorate","Algeria","Research",3
"12/23/2019 19:16:40","Intermediate","Doctorate","Algeria","Financial Services and Activities",0
"12/30/2019 8:06:27","Expert","Doctorate","Andorra","Education",2
"12/19/2019 15:41:20","Intermediate","Doctorate","Argentina","Health Care and Medicine",
"12/16/2019 3:59:23","Beginner","Doctorate","Australia","Natural Resources and Mining",0
"12/31/2019 18:01:32","Beginner","Doctorate","Australia","Education",15
"01/01/2020 08:28","Beginner","Doctorate","Australia","Education",3
